cn	en	alt	pos	note	source	lock
档位观察窗	position display window				glossary-20260130	0
气体继电器	Buchholz relay	gas relay		Not protective relay. Protective relay is ZXJY / OLTC protective relay.	os-lock	1
水平传动轴	horizontal driving shaft				os-lock	1
水平防护罩	horizontal guard				glossary-20260130	0
油流继电器	oil flow relay/oil surge relay				glossary-20260130	0
流体静压力	static pressure				glossary-20260130	0
溢油排气阀	oil discharge valve				glossary-20260130	0
滚动式触头	rolling				glossary-20260130	0
电动机构箱	motor drive cubicle				glossary-20260130	0
真空灭弧室	vacuum interrupter	vacuum interrupter chamber		Workbook 真空泡 = vacuum interrupter (VI).	os-lock	1
瞬时过电压	transient overvoltage				glossary-20260130	0
等电位连线	potential connection				glossary-20260130	0
粗调选择器	coarse change-over selector				glossary-20260130	0
细调选择器	fine change-over selector				glossary-20260130	0
转换选择器	Change-over selector				glossary-20260130	0
运行指示器	Operation indicator		名词		glossary-20260130	0
进油口法兰	oil inlet flange				glossary-20260130	0
闭合/开断	make/break				glossary-20260130	0
齿轮盒出轴	Gearbox shaft				glossary-20260130	0
产品型号	Product model				glossary-20260130	0
伞齿轮盒	bevel gearbox				glossary-20260130	0
例行试验	routine test				glossary-20260130	0
击穿电压	breakdown voltage				glossary-20260130	0
切换开关	diverter switch				glossary-20260130	0
切换测试	switching test				glossary-20260130	0
切换电流	switched current				glossary-20260130	0
切换芯子	diverter switch insert				glossary-20260130	0
功率因数	power factor				glossary-20260130	0
励磁绕组	excitation winding				glossary-20260130	0
华明接线	Connected by HM				glossary-20260130	0
变压器油	transformer oil				glossary-20260130	0
图样标记	Mark pattern				glossary-20260130	0
型式试验	type test				glossary-20260130	0
定位销钉	locating pin		名词		glossary-20260130	0
客户接线	To be connected by customer				glossary-20260130	0
局部放电	PD partial discharge				glossary-20260130	0
工作档位	operating position		名词		glossary-20260130	0
工频电压	power-frequency voltage/ AC voltage test				glossary-20260130	0
工频耐压	AC				semantic-glossary	0
